YEAR,STATE,VALUE
2017,MIZORAM,13779
2017,NAGALAND,14178
2017,ORISSA,316192
2017,PUNJAB,335057
2017,RAJASTHAN,557618
2017,SIKKIM,15204
2017,TAMIL NADU,1000308
2017,TRIPURA,29505
2017,UTTAR PRADESH,922458
2017,UTTARAKHAND,162205
2017,WEST BENGAL,623787
2017,ANDAMAN & NICOBAR ISLANDS,5750
2017,CHANDIGARH,25289
2017,DELHI,487631
2017,PUDUCHERRY,20024
2017,TELANGANA,498145
2018,ANDHRA PRADESH,558862
2018,ARUNACHAL PRADESH,14897
2018,ASSAM,204627
2018,BIHAR,345545
2018,GOA,47425
2018,GUJARAT,1034399
2018,HARYANA,470328
2018,HIMACHAL PRADESH,99218
2018,JAMMU & KASHMIR,93072
2018,JHARKHAND,208701
2018,KARNATAKA,974815
2018,KERALA,510787
2018,MADHYA PRADESH,482361
2018,CHHATTISGARH,209211
2018,MAHARASHTRA,1728578
2018,MANIPUR,16193
2018,MEGHALAYA,20968
2018,MIZORAM,14116
2018,NAGALAND,15055
2018,ORISSA,338339
2018,PUNJAB,353942
2018,RAJASTHAN,568102
2018,SIKKIM,15889
2018,TAMIL NADU,1071602
2018,TRIPURA,32703
2018,UTTAR PRADESH,949184
2018,UTTARAKHAND,166519
2018,WEST BENGAL,659288
2018,ANDAMAN & NICOBAR ISLANDS,6108
2018,CHANDIGARH,26654
2018,DELHI,506332
2018,PUDUCHERRY,23468
2018,TELANGANA,544441
2019,ANDHRA PRADESH,595658
2019,ARUNACHAL PRADESH,17091
2019,ASSAM,212315
2019,BIHAR,359196
2019,GOA,48509
2019,GUJARAT,1110179
2019,HARYANA,507776
2019,HIMACHAL PRADESH,102613
2019,JAMMU & KASHMIR,90791
2019,JHARKHAND,209913
2019,KARNATAKA,1030357
2019,KERALA,521455
2019,MADHYA PRADESH,508146
2019,CHHATTISGARH,220624
2019,MAHARASHTRA,1782903
2019,MANIPUR,17756
2019,MEGHALAYA,21997
2019,MIZORAM,13050
2019,NAGALAND,15853
2019,ORISSA,346106
2019,PUNJAB,367558
2019,RAJASTHAN,598550
2019,SIKKIM,16588
2019,TAMIL NADU,1099402
2019,TRIPURA,33695
2019,UTTAR PRADESH,980106
2019,UTTARAKHAND,166351
2019,WEST BENGAL,697554
2019,ANDAMAN & NICOBAR ISLANDS,6430
2019,CHANDIGARH,27817
2019,DELHI,521994
2019,PUDUCHERRY,23672
2019,TELANGANA,572736
2020,ANDHRA PRADESH,593869
2020,ARUNACHAL PRADESH,16588
2020,ASSAM,199646
2020,BIHAR,344183
2020,GOA,46421
2020,GUJARAT,1099259
2020,HARYANA,480471
2020,HIMACHAL PRADESH,98132
2020,JAMMU & KASHMIR,87102
2020,JHARKHAND,196467
2020,KARNATAKA,1026875
2020,KERALA,472272
2020,MADHYA PRADESH,490238
2020,CHHATTISGARH,215126
2020,MAHARASHTRA,1653094
2020,MANIPUR,18230
2020,MEGHALAYA,20620
2020,MIZORAM,11781
2020,NAGALAND,15200
2020,ORISSA,326253
2020,PUNJAB,352357
2020,RAJASTHAN,583645
2020,SIKKIM,16147
2020,TAMIL NADU,1094471
2020,TRIPURA,32615
2020,UTTAR PRADESH,910011
2020,UTTARAKHAND,156792
2020,WEST BENGAL,706648
2020,ANDAMAN & NICOBAR ISLANDS,-
2020,CHANDIGARH,24422
2020,DELHI,496284
2020,PUDUCHERRY,22816
2020,TELANGANA,537753
